epoch,layer,update_to_weight_ratio
12,_orig_mod.transformer.layers.0.linear2.weight,0.058104779257776164
12,_orig_mod.transformer.layers.0.linear2.bias,0.10867265126025537
12,_orig_mod.transformer.layers.0.norm1.weight,0.005724611213465433
12,_orig_mod.transformer.layers.0.norm1.bias,0.20264419962052038
12,_orig_mod.transformer.layers.0.norm2.weight,0.0049591321481291025
12,_orig_mod.transformer.layers.0.norm2.bias,0.11440254538708303
12,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.08621616278933923
12,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.20402487122992916
12,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.053968885832656535
12,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.11018349004652044
12,_orig_mod.transformer.layers.1.linear1.weight,0.048399656593098916
12,_orig_mod.transformer.layers.1.linear1.bias,0.15249944758215084
12,_orig_mod.transformer.layers.1.linear2.weight,0.034894850275044034
12,_orig_mod.transformer.layers.1.linear2.bias,0.03420834133110183
12,_orig_mod.transformer.layers.1.norm1.weight,0.004479148699970718
12,_orig_mod.transformer.layers.1.norm1.bias,0.07893164325194067
12,_orig_mod.transformer.layers.1.norm2.weight,0.00659509114216552
12,_orig_mod.transformer.layers.1.norm2.bias,0.05644575113398679
12,_orig_mod.output.weight,0.07788381389021704
12,_orig_mod.output.bias,1.1304794119187358
12,AGGREGATE,0.026368855539572574
13,_orig_mod.pos_encoding,0.002297064402098291
13,_orig_mod.input_proj.weight,0.05454888518672232
13,_orig_mod.input_proj.bias,0.1272121172167204
13,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.04750880973778677
13,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.18232687968689487
13,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.0373019571041434
13,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.09318968072691404
13,_orig_mod.transformer.layers.0.linear1.weight,0.040261576817416524
13,_orig_mod.transformer.layers.0.linear1.bias,0.15315027918341326
13,_orig_mod.transformer.layers.0.linear2.weight,0.04318857768245306
13,_orig_mod.transformer.layers.0.linear2.bias,0.06448263967864862
13,_orig_mod.transformer.layers.0.norm1.weight,0.00334472334538231
13,_orig_mod.transformer.layers.0.norm1.bias,0.12267596258956205
13,_orig_mod.transformer.layers.0.norm2.weight,0.004892204811666423
13,_orig_mod.transformer.layers.0.norm2.bias,0.07458859938054695
13,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.06735004604905606
13,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.1330164192863004
13,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.04342085426639148
13,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.08104493525596353
13,_orig_mod.transformer.layers.1.linear1.weight,0.043982616517582084
13,_orig_mod.transformer.layers.1.linear1.bias,0.13375580154345906
13,_orig_mod.transformer.layers.1.linear2.weight,0.0351654842599696
13,_orig_mod.transformer.layers.1.linear2.bias,0.033754259508067146
13,_orig_mod.transformer.layers.1.norm1.weight,0.003792285794660713
13,_orig_mod.transformer.layers.1.norm1.bias,0.07728438194984197
13,_orig_mod.transformer.layers.1.norm2.weight,0.006347393890980892
